"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-02-07","6.93",",,W","0.49",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","35","H,,S","43",",,W","33",",,W","  340",",,W","  320",",,W","21.9",",,W","29.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-02-08","10.51",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","34","H,,S","38",",,W","26",",,W","  330",",,W","  340",",,W","28.0",",,W","35.1",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-02-09","6.04",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","35","H,,S","46",",,W","27",",,W","  170",",,W","  160",",,W","14.1",",,W","16.1",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-02-10","4.92",",,W","1.06",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","43","H,,S","50",",,W","39",",,W","  200",",,W","  210",",,W","12.1",",,W","16.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-02-11","6.93",",,W","1.05",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","53","H,,S","68",",,W","45",",,W","  220",",,W","  210",",,W","25.9",",,W","35.1",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-02-12","12.75",",,W","0.09",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","53","H,,S","65",",,W","37",",,W","  350",",,W","  330",",,W","25.1",",,W","30.0",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-02-13","8.50",",,W","0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","38","H,,S","43",",,W","33",",,W","   10",",,W","   10",",,W","16.1",",,W","19.9",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-02-14","7.16",",,W","0.03",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","40","H,,S","53",",,W","34",",,W","  170",",,W","  180",",,W","17.0",",,W","19.9",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-02-15","10.51",",,W","0.01",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","55","H,,S","74",",,W","47",",,W","  210",",,W","  210",",,W","21.9",",,W","28.0",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-02-16","12.53",",,W","0.05",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","62","H,,S","67",",,W","40",",,W","  320",",,W","  320",",,W","28.0",",,W","36.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-02-17","8.28",",,W","0.42",",,W,2400","0.2",",,W,2400","0.0",",,W,2400","39","H,,S","44",",,W","34",",,W","  360",",,W","  330",",,W","16.1",",,W","21.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-02-18","6.26",",,W","0.00","T,,W,2400","0.0",",,W,2400","0.0","T,,W,2400","40","H,,S","51",",,W","33",",,W","  320",",,W","  330",",,W","16.1",",,W","21.0",",,W",,,,,,,,,,,,,,,,
